commits_count,username_hash,lab
10,a6147af9b1073c2a655bd23a9d0c1249,project1
2,a28b86552d3a67e4978471b9726a8506,lab3
2,337e8932134f8a39ad98b145040da767,lab3
8,1040b420f190576e9798b70f7af55168,project1
11,4c771b0d357a6f59f390d2f441984ca4,project1
16,b953e46717ad1bf377bd9cffc0240444,project1
9,c19b44e53e9d368cfcb1ad1fb36fba99,project1
9,7f4df6a9e19a7687f718e557ec4a9a6b,project1
8,0756218966a3de7f262f33b4941be978,lab4
13,2f3994d4fa5b76d271754337724a388b,lab4
3,206ba58fbac531e8e9af60a2cdf687d7,lab4
7,3e7649bdd39a61d686b7584e506d68c3,lab4
8,a3e7eddb32f7471ea7d21f19b14a144d,lab4
5,c5142f0abca2887dc78c0ab7ca2293d1,lab4
1,9a71cfe42c5ab9a94cac52bd1ae6356c,lab4
8,ce99cc69182cc1506ee0a60c720fabf3,lab4
4,5d1fa1e1e65c8af2f85ec610679e907d,lab4
5,c318eaefca488edec5179913655d2f1b,lab4
11,59cc80cfc2a91f8a0ecc1968a0acb6ca,project1
4,130d28d5ea9b9301d046b2a2134fa78f,lab4
8,9bfe86c032fec89082fb7c6c266a3820,project1
3,6493bc43b10c5e31303ef5fc3e25e0a2,lab4
9,d9a158e5c75f06b829ebae7dae5d4025,lab4
6,bbf1dcb119b50489abcca68d39ae65e5,lab4
6,09d668b4e1bc5a0892b664613e175e2b,lab4
4,ab822aa43b4f3233eac71b072a7c1a21,lab4
6,42611a4d59ce0d7927147c9483ceccee,lab4
6,096095de56d8e7b68c88b84bc8ba16b2,lab4
13,25c0a623017143cc454d8921d67ac2a9,lab4
13,f8173100d0d3223411809387e94940dc,project1
10,dcb2433644d749fd8d8a162b9477c950,lab4
15,e871cae210949c74230c2931c1543bb2,lab4
13,1e561fef0632921e83bebd552ebe5e2d,lab4
6,d201efa9c4ba772471f906cf03d6357d,lab4
8,152e32a5e831ae5ada5db66d3358ba2c,project1
3,2d299427292671400eea27ff5fe92b5f,lab4
2,f47636673b14c54021a69dc06f6a19fb,project1
10,5239a564c6ee70bcdc34ce6d6b72c70d,lab4
4,a87288247846018b601b15b544438d20,lab4
2,af93541bef68d40dfc5c5a537127a806,lab4
3,404d0933976768c2efba913a3f97b964,project1
29,959ac672450b994eccdb733e9dcbf84a,project1
4,38f82453e946a5f596cab64597657a9a,lab4
5,66c09193d4c8c2ae29f04f1d0455961b,lab4
10,29be1098ae46eb5a85c170fb362e1f92,lab4
7,4fe061fdd707594a5a0b99d215d757eb,project1
6,63717453c62cabdc95b1357180229d83,lab4
2,5bb6000923a0a6c25177e732afa39d9c,project1
